Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1574431772.1211498,7413,1574431772,120691061,,-7.2,0.0,0.0
1574431772.169717,7414,1574431772,168941020,,-7.2,0.0,0.0
1574431772.2176807,7415,1574431772,216928005,,-7.2,0.0,0.0
1574431772.2656858,7416,1574431772,264830112,,-7.2,0.0,0.0
1574431772.3298283,7417,1574431772,328989982,,-7.2,0.0,0.0
1574431772.3791094,7418,1574431772,377136945,,-7.2,0.0,0.0
1574431772.425917,7419,1574431772,425198078,,-7.2,0.0,0.0
1574431772.4734418,7420,1574431772,472899913,,-7.2,0.0,0.0
1574431772.522582,7421,1574431772,521159887,,-7.2,0.0,0.0
1574431772.569732,7422,1574431772,568968057,,-7.2,0.0,0.0
1574431772.6191556,7423,1574431772,618382930,,-7.2,0.0,0.0
1574431772.6816282,7424,1574431772,681193113,,-7.2,0.0,0.0
1574431772.7302973,7425,1574431772,729724884,,-7.2,0.0,0.0
1574431772.7786632,7426,1574431772,777669906,,-7.2,0.0,0.0
1574431772.826126,7427,1574431772,825567960,,-7.2,0.0,0.0
1574431772.8734252,7428,1574431772,873086929,,-7.2,0.0,0.0
1574431772.9216752,7429,1574431772,921240091,,-7.2,0.0,0.0
1574431772.9696712,7430,1574431772,969218969,,-7.2,0.0,0.0
1574431773.0187285,7431,1574431773,17395019,,-7.2,0.0,0.0
1574431773.082146,7432,1574431773,81199884,,-7.2,0.0,0.0
1574431773.1310077,7433,1574431773,129715919,,-7.2,0.0,0.0
1574431773.1780875,7434,1574431773,177328109,,-7.2,0.0,0.0
1574431773.2261734,7435,1574431773,225522041,,-7.2,0.0,0.0
1574431773.2739754,7436,1574431773,273392915,,-7.2,0.0,0.0
1574431773.3221543,7437,1574431773,321414947,,-7.2,0.0,0.0
1574431773.3700738,7438,1574431773,369363069,,-7.2,0.0,0.0
1574431773.434229,7439,1574431773,433518886,,-7.2,0.0,0.0
1574431773.4821863,7440,1574431773,481573104,,-7.2,0.0,0.0
1574431773.5303688,7441,1574431773,529675960,,-7.2,0.0,0.0
